PI Name,Num Publications,PubMed Publication,PubMed Publication (keywords >= 5),PubMed Main Author Publications,Num Keywords,Main Branch Keywords,Main Author Keywords,Main Author Main Branch Keywords
Poul Sorensen,30,30,25,13,366,353,171,164
Christele du Souich,6,6,4,2,61,54,19,17
David Speert,5,5,2,0,29,26,0,0
Patricia Spittal,14,14,13,11,196,153,161,124
Robert Stowe,2,2,2,1,30,28,13,12
Rusung Tan,3,3,3,1,45,43,14,14
Tricia S. Tang,13,13,11,12,153,123,134,107
Yuk Joseph Ting,19,19,15,9,263,231,162,146
Ivan Torres,16,16,14,7,192,167,86,73
Brianna Turner,14,14,12,13,134,109,124,102
Saraswathi Vedam,1,1,1,0,18,17,0,0
Fidel Vila-Rodriguez,26,26,22,8,306,259,79,68
Naznin Virji-Babul,8,8,6,6,74,61,62,51
Christine Voss,15,15,11,11,141,118,92,76
Fay Warnock,2,2,2,2,33,26,33,26
Alexander Weber,2,2,1,2,7,7,7,7
Joanne Weinberg,23,23,22,20,319,280,272,239
Cheryl Wellington,16,16,15,12,193,181,144,136
David Wensley,10,10,8,1,121,110,11,10
Janet F. Werker,8,8,6,8,50,42,50,42
Sandy Whitehouse,2,2,2,2,26,21,26,21
David Wilson,13,13,13,8,166,142,99,81
Ramona Salvarinova,3,3,3,1,40,35,10,9
